ResponseID,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7
0,4,3,1,4,1,2,4,4
1,7,4,1,1,1,5,6,5
2,7,1,4,1,3,5,7,7
3,4,6,5,6,1,5,7,7
4,1,6,1,1,6,1,3,3
5,6,7,6,4,3,2,3,7
6,6,4,3,4,2,7,7,2
7,3,6,5,1,4,7,6,2
8,2,2,5,3,4,5,3,6
9,3,6,6,5,4,6,6,6
10,5,1,1,3,2,4,1,1
11,4,4,7,5,7,7,2,2
12,5,3,2,4,4,7,6,5
13,1,6,6,4,1,4,3,4
14,5,2,3,1,7,5,6,3
15,1,6,2,3,6,3,7,4
16,5,6,1,6,5,5,3,6
17,2,1,1,5,6,5,1,5
18,1,5,5,3,2,4,6,3
19,5,2,6,4,5,5,5,3
20,1,7,6,6,6,4,1,1
21,5,1,7,4,7,5,7,4
22,4,5,7,4,6,7,3,2
23,1,4,1,1,7,6,6,7
24,1,5,6,7,6,2,6,4
25,5,5,7,6,6,6,6,5
26,6,6,6,1,4,4,1,3
27,1,3,1,7,6,5,2,2
28,1,4,7,3,2,2,7,3
29,4,3,1,6,1,5,3,2
30,1,7,1,5,6,6,7,5
31,1,6,6,2,6,1,7,3
32,6,1,3,3,3,2,1,4
33,1,3,4,2,7,4,7,7
34,2,5,6,3,4,5,6,5
35,1,7,3,4,7,5,2,3
36,5,3,4,6,2,4,6,5
37,3,4,5,3,6,5,6,4
38,7,5,3,1,6,4,2,4
39,6,3,5,6,4,5,2,2
40,4,3,6,2,1,2,2,6
41,3,4,3,6,3,7,6,7
42,5,4,3,6,6,4,1,2
43,3,5,5,2,7,7,3,4
44,2,6,1,5,6,1,2,4
45,3,6,6,6,6,1,2,7
46,1,5,7,6,1,7,6,6
47,6,7,4,5,6,5,2,7
48,2,7,7,2,5,5,7,2
49,5,2,3,1,3,1,4,2
50,6,4,3,6,7,5,2,4
51,4,5,7,3,6,4,3,3
52,4,6,4,2,3,2,1,3
53,5,6,6,1,7,2,7,7
54,4,6,1,7,2,4,3,2
55,4,2,4,1,4,6,1,3
56,6,3,4,6,3,5,1,7
57,7,7,6,5,1,5,7,7
58,3,4,6,4,4,7,3,4
59,2,4,6,5,6,6,1,4
60,3,3,7,6,4,2,3,3
61,1,4,1,5,6,5,3,2
62,5,5,4,1,3,7,7,1
63,6,5,3,1,3,4,7,2
64,6,4,7,6,3,3,2,1
65,5,7,1,6,3,5,3,3
66,5,3,2,1,7,2,3,2
67,3,6,3,6,7,3,6,5
68,6,4,3,6,4,5,4,7
69,6,2,5,2,1,7,5,4
70,1,4,3,1,4,1,6,4
71,5,3,2,1,2,3,3,7
72,7,4,5,1,4,4,6,2
73,6,3,5,6,5,4,1,6
74,5,4,6,3,6,3,4,7
75,6,1,3,2,6,1,2,1
76,1,6,5,1,3,2,7,5
77,5,3,7,4,3,3,7,1
78,1,3,7,1,7,3,1,2
79,1,2,1,1,4,4,5,4
80,1,4,1,3,3,5,6,3
81,1,7,5,4,2,7,3,5
82,5,3,3,1,3,5,7,5
83,5,3,1,4,4,2,7,2
84,3,5,7,5,3,2,1,6
85,7,6,3,1,5,4,6,5
86,6,7,6,7,5,7,6,1
87,4,3,3,1,2,5,4,3
88,1,4,6,6,6,6,1,2
89,7,6,7,3,6,3,1,2
90,3,5,6,1,6,4,5,7
91,5,1,1,7,4,5,1,5
92,1,4,4,7,6,5,6,6
93,5,1,1,4,4,7,2,4
94,3,3,3,7,1,7,7,3
95,5,4,6,7,6,3,6,4
96,6,4,6,3,6,1,2,1
97,3,3,6,1,5,2,3,2
98,1,6,6,2,7,6,7,2
99,1,6,5,7,5,1,2,4
100,1,2,5,6,6,7,2,1
101,5,6,2,1,4,2,6,7
102,3,6,3,3,7,3,2,7
103,6,5,3,5,5,5,1,3
104,4,2,3,5,2,5,3,7
105,1,6,6,1,6,2,7,4
106,4,1,6,4,4,6,3,7
107,5,5,3,4,6,7,5,7
108,7,7,6,1,3,5,1,1
109,2,4,1,6,7,7,7,2
110,7,3,1,6,6,5,6,2
111,4,4,3,1,4,5,2,6
112,6,6,7,6,6,5,6,3
113,2,1,4,3,7,7,6,4
114,3,1,6,4,1,2,7,6
115,4,1,5,4,7,3,7,1
116,7,2,3,4,4,5,1,5
117,6,6,1,4,2,5,4,1
118,1,2,1,3,1,7,6,4
119,4,6,7,5,3,2,1,5
120,3,4,7,1,7,5,1,7
121,7,7,4,1,6,2,2,2
122,5,6,1,6,2,6,1,6
123,6,5,1,3,2,7,3,5
124,2,4,7,1,3,6,5,6
125,5,3,1,1,6,6,6,7
126,1,4,5,1,4,1,5,3
127,3,6,1,5,2,3,5,3
128,7,6,3,3,4,3,1,3
129,4,2,3,1,3,6,1,7
130,1,2,5,5,3,2,6,4
131,5,1,1,3,3,2,6,5
132,5,3,1,2,2,3,2,4
133,1,6,1,6,6,1,2,3
134,5,5,6,5,1,5,7,1
135,7,6,1,3,5,2,3,3
136,5,4,5,4,5,2,4,4
137,1,2,3,4,6,3,4,6
138,6,4,7,3,1,5,6,4
139,3,6,6,3,2,6,1,7
140,1,2,2,3,6,4,1,6
141,5,4,4,7,1,3,7,4
142,3,7,7,5,4,3,6,3
143,5,3,7,2,1,6,3,3
144,7,7,1,4,3,5,7,3
145,1,3,5,7,2,5,5,2
146,5,3,3,6,6,2,1,4
147,3,4,4,1,2,6,5,1
148,5,2,3,1,7,2,5,7
149,1,6,6,3,1,6,5,7
